URL,Title,Content,Rating,Additional Tags
https://archiveofourown.org/works/44434975,【仙白】好风衔香,Not Found,Mature,Not Found
https://archiveofourown.org/works/37408522,浮生聚散,Not Found,Mature,Not Found
https://archiveofourown.org/works/46990717,Bait,"Chapter Text
 “Hey Mastriani.”Jess grinned, leaning back against her bedroom door and relishing the sound of Rob’s voice through the tinny speaker of her cell phone. Between Rob’s hectic work and college schedule and her own classes and commitments to her family restaurants, (“Jess! We’re so glad you’ve moved back home! Because we really needed a hand with the new steam table at Joe’s.”), they had barely seen each other over the last three weeks. Jess’s mom had outright forbidden her from moving in to Rob’s place and much to her chagrin, Rob hadn’t argued, still trying to gain the approval of the Mastriani elders. So it was that despite the shiny nugget of gold nestled on her finger, this was the first time Jess had heard from her fiancé in days.“Hey yourself,” she said, unable to keep the grin out of her voice. She never was able to keep to Ruth’s Rules for Boys when it came to Rob. “How’s it going?”“Better now that I’m speaking to you,” came Rob’s reply. Jess felt a happy flush creep up her neck at his words. “How was class today?”“It was actually really cool. We had this lecturer come in and talk about cognitive overload and how that can really affect kids’ retention of new facts and that’s why so many students struggle with taking in new information day after day, because it’s like their brains have soaked up everything they can and it’s like trying to put more water into a sponge when it’s already full and –“ Jess caught herself. “Sorry, I was going on again wasn’t I?”Rob chuckled down the phone. “I would listen to you go on for hours and not get bored,” he said, making Jess’s stomach flip flop. “Unfortunately,” Jess heard a car horn beeping in the background, “I have a customer so I can’t.”“Ugh, you’re taking another night shift? You’ll work yourself to death.”“Passes the hours until I get to see you again.”“You softy,” Jess replied, her heart soaring.“I’ve just missed you is all. Speaking of which, you still on for tomorrow?”“Wouldn’t miss it even if a tornado blew through town.”“Great.” Jess was amused to hear that Rob sounded relieved. How could he still be in any doubt of her affection? “I’ll pick you up from yours at eight.”“See you then.”Jess held her phone to her chest after hanging up, not caring that she was still acting like a high school student with her first crush. Something about Rob just undid her, and she wouldn’t have it any other way. --- Although she hadn’t risked a skirt in the hope that Rob would bring his Indian rather than his truck, Jess felt pretty good about her ensemble as she checked out her reflection in the glass of the French doors. She had to reluctantly agree that Ruth was right that heeled boots would make her legs look way sexier in jeans, and she already knew Rob’s weakness for a simple V-neck shirt, so all in all she was fairly confident that she would be getting an invite back to Rob’s place after dinner tonight. A touch of cherry chapstick and he was sure to be putty in her hands.A quick glance at her – Rob’s – watch told her that he was due in five minutes. Unable to stand her dad’s amused glances at her endless pacing, Jess called out her goodbyes and went to sit on the porch swing, straining to hear the sound of an engine coming down the lane.Eight o’clock came and went. As did ten past. By quarter past, Jess was starting to get cross.Rob’s cell went to answer phone. By half past she was starting to get worried.Rob was normally very punctual, especially when it came to dates. Once again there was no answer on Rob’s cell. Making up her mind, Jess went back into the house to grab her bike keys and helmet.“Jess? Is that you?”Jess resisted the urge to cringe. She had hoped that her mom wouldn’t notice her come in, but of course she saw her from the kitchen.“Yeah.”“I thought Robert was picking you up tonight?”“Yeah… slight change of plans, I’m going to ride out to meet him, save him coming over all this way,” Jess lied through her teeth. She didn’t want to have to explain anything to her mom just now, it would only end in a row. Grabbing her stuff from the pegs she opened the door again, but was stopped before she could escape.“Jess?” It was her dad, leaning over the back of the sofa and looking back at her. “Everything okay?”Jess felt a lump rise in her throat and quickly swallowed it back down. Lying to her dad was much harder. “Yeah, everything’s fine, Rob just got held up at work is all.”Her dad narrowed his eyes at her but nodded. “Hmm. Okay. Ride safe.”“Of course,” Jess said before flinging herself out the door and slamming it behind her. She leant against it for a moment before pulling out her bike and heading off down the road.As soon as she was on the road on her bike, Jess found herself able to think a bit clearer. Rob probably got caught up on a job at work or something. She started to head towards his garage when another thought occurred to her. Perhaps he had gone back home to change and had ended up falling asleep. He had been working a lot recently…While Jess was hesitating at a junction trying to decide whether to head towards the garage or Rob’s house, her cell suddenly started ringing, the sound making her jump. She pulled over to the side of the road and fished her phone out of her jacket, feeling equal parts relieved and irritated seeing Rob’s name on the caller ID.“Where the hell are you?” she started, her worry bubbling over into irritation now that he had finally called.“Jess…”Uh-oh, Jess thought, knowing it was never a good thing when Rob addressed her by her first name.“Jess, I’m real sorry but I’m…” Rob cleared his throat and Jess could hear what sounded like him shuffling uncomfortably. “I’m going to have to call off tonight. Something…uh, something came up.”“Something came up?” Jess repeated, letting her anger cover the hurt that felt like a punch to the gut.“Yeah, and uh… don’t try calling me.”Jess struggled with a wave of rejection at Rob’s words. She could hear lots of noise in the background and someone else’s muffled voice. “Rob what the hell? Who are you with? What’s –“For a moment all Jess could hear what sounded like someone dragging a chair over the ground before Rob’s voice came over the phone, his words hurried and urgent.“It’s not gonna work between us. It’s over. Don’t contact me again.”The line went dead.Jess stared at her phone in horror, her brain refusing to process what had just happened. Eventually the disbelief was pushed aside by a wave of pure agony and with a primal scream Jess threw the phone with all her might at the nearest tree. It smashed against it with a crack, dropping to the ground in pieces. Slamming her helmet down, Jess took off for the city limits, somewhere she could let off steam by pushing 100. --- 
“You goddamn punk!”

Rob squeezed his eyes shut, unable to defend himself from the fist he knew was coming with his hands being held behind his back.

“You were supposed to get her to come here to find you and you go and break up with her?!”

A backhand snapped his face to the side.

“Now there’s no way she’ll come here for you.”

Despite his bleeding lip, Rob smiled. Mission accomplished.

“You think it’s funny, do you boy? All you’ve done is sign your death warrant that little bit faster. No point in keeping you around if she won’t come for you.”

Rob felt no regret about his actions as the fist connected with his temple and the world started to turn black. He only wished his last words could have been to tell Jess how desperately he loved her, rather than breaking her heart.",Teen And Up Audiences,KidnappingRescueBreak UpMotorcycles
https://archiveofourown.org/works/37391695,096. Maddening,Not Found,Teen And Up Audiences,DrabbleCrossovers & Fandom FusionsGhostsPsychic AbilitiesFemslash FebruaryFemslash February 2022
https://archiveofourown.org/works/36963142,Shelter,Not Found,Teen And Up Audiences,RomancePOV Rob WilkinsStrandedLiteral Sleeping Together
https://archiveofourown.org/works/27849038,"Missing You, Are You Missing Me?","Chapter Text

Hi.

How’s it going?

Long time no see.

Hey, I need a favor…

Jess, I’m madly in love with you and I swear I never cheated on you, please, please, please come back to me?
Okay, I admit, I should have known that there was no way I’d be able to plan what to say ahead of time. But I tried. I ran through a million things in my head, tried to picture all the different scenarios (most involved a slammed door), all the things that I could and couldn’t do. I just didn’t know, though. How could I? Until I saw her again – really saw her, in person, as opposed to in photos – I wouldn’t be able to predict my own reaction, let alone hers.And yet, somehow, in every single one of my imagined scenes, I hadn’t pictured this.The room the door opened onto was full and loud, with a TV blaring, two guys shouting at it, and some girl way in the background saying something in a loud voice. I mean, it was a pretty nice room, but you could easily tell that it was currently just too full.And in the front, standing holding the door, was Jess.Jess. I hadn’t seen her (in person) in about a year, not since she’d broken up with me. Which didn’t really count as seeing her. Really, it had been two years since we’d even properly spoken, so I honestly didn’t know what to expect.But Jess still looked the same, sort of. I mean, she still had the same short hair, the same face, even the same clothes – and she looked just as good as ever in them. I mean, she was hot. From her hair, shorter than mine, like always, to her sneakered feet. Jess managed to make simple clothes look good. She just did. I could go on, but, you know, I’m just not gonna start. Any more than I already have, anyway – but I could still tell that she’d changed. The changes were invisible, but I was all too aware of them, seeing as if they had never occurred, I wouldn’t have spent this past year very unhappy.Now, I’m not gonna say that I’d rather Jess had never gone out and helped with the war – after all, she saved a lot of lives, and I’m not that selfish – and preferred that she stay home with me and never let that invisible change occur. Really. I’m not.I will, however, freely state that Cyrus Krantz, the FBI agent who got her into the whole mess? Yeah, I hate his weaselly black guts.“Jess,” I said, addressing the owner of that name for the first time in far too long, “is this a bad time?”She stared at me, shocked. I guess I can’t really blame her. I would be shocked, too, if some girlfriend from a year or two ago just randomly showed up at my door, after I’d moved out of state, and asked if it was a bad time to talk.God, Rob, you were thinking about this for hours, and you blurted out, “Is this a bad time?” Idiot.In the background, one of the guys yelled, “Ask him if he can break a fifty,” without looking over, apparently thinking I was some sort of delivery-boy. I wondered who the two guys were. I couldn’t see their faces since the couch faced away from the door, and could only hear their voices.Please let them not be boyfriends. Please no.“Make sure he remembered the hot-pepper flakes. They forgot last time,” the girl’s voice called, and I remembered that the previously termed Bitch, also known as Jess’s best friend Ruth, was living with her. I’d learned this from Doug, who for some reason, had actually believed me when I’d told him about the circumstances of the reason for the break-up.See, there’s this girl. Woman. Whatever. She has this car that frequently breaks down (just bad handling, it’s not like it isn’t a perfectly decent car), so she’s coming in relatively often, and, well, she’s not Mensa material, is all I’ll say. She’s also very excitable, blonde, and has really big… you know. Boobs. It’s kinda awkward for all of us mechanics who have girlfriends or wives or whatever, because whenever someone successfully fixes her Mercedes, Nancy gets very excited and kisses them (although, sometimes she doesn’t – generally when it’s one of the older or more homely guys). Of course, since she’s pretty, a lot of the single guys really like to be the ones to fix her car.Unfortunately, that day it was my job, and I’d just finished, and she had jumped forward and kissed me. That must have been what Jess saw. I mean, I didn’t even know she was there. At the garage, or in town. I only found out when I stopped by at the comic shop to buy a Spider-Man and chat with Doug for a bit. But, she can’t have been there long, or else she would have seen me push Nancy away.“Nancy,” I’d said, “We talked about this. I have a girlfriend.” And we had talked about it, last time I’d fixed her car.“Sorry,” she said, smiling. “I just get so excited!”I really wasn’t that mad. I mean, Nancy might have seemed bad, but she was really actually a pretty sweet girl. Just flaky, dumb, and sort of slutty.But nice.Anyway, when I visited Jess’s house later that afternoon, I was obviously pretty excited. I’d had some big plans for that evening, really big ones that I don’t specifically want to get into right now. But Jess hadn’t reacted the way I expected.Yeah, to say I was surprised when Jess told me to get the hell off her property (I could practically see a rifle held threateningly in her hands) – well, that’s probably the definition of understatement.I mean, the Jess I knew, would never believe I’d cheated on her, right? Okay, yeah, she could be a little insecure at times, but come on, I’d always thought it was obvious how I felt about her – even if I never did work up the guts to admit I loved her before she left.I don’t know; maybe if I had, then Jess – even after-the-war/losing-her-powers Jess – would have had a little more faith in me. Wouldn’t have given up so easily. Maybe, if I’d already told her, I’d have been smart enough to do more than just get mad and tell her how different she’d gotten; how damaged. Maybe, if she’d known I loved her – was in love with her – I would’ve followed her, and not let her run away.But she’d never known, I guess, and I never did follow her. I waited, yeah – sometimes it feels as if that’s all I’ve been doing for the past two years, waiting – but I still let her leave and try to work through everything – fix herself – on her own.Who knows? Maybe it’s better that I did. I never held much stock in 'maybes' or 'if-onlys' anyway. I mean, sure, the Jess standing in front of me didn’t look exactly happy, but, much as I might hate to admit it, that was probably a direct result of my (unexpected) presence at her door.God, she probably hated me now.“This is a bad time,” I said, seizing onto The Bitch and the two mysterious guys (they were NOT boyfriends, they were NOT boyfriends, if they were boyfriends I was gonna have to punch somebody) as convenient excuses. “You’ve got company. I can come back later.”Of course I didn’t want to leave completely, but maybe if I went away for the moment, at least… Called ahead next time, arranged something, I dunno. I was beginning to regret not warning her ahead of time that I was coming. But I’d suspected – and had it confirmed by Doug – that if Jess had had any clue I was coming, she would have been long gone by the time I arrived.And I guess I could have sent her an email or something. But I felt like this was something I had to do face-to-face. Plus, I just wanted to see her, face-to-face.Jess just continued staring at me, shock, and a couple other expressions I really wished I could interpret on her face. She didn’t say a word in response; I wasn’t sure she’d even heard what I said.But one of the male voices did speak again, shoving past Jess waving a fifty-dollar-bill, and revealing himself to be (much to my relief, because Jess would never touch the guy) Skip Abramowitz.“Hey, can you break this?” he asked. Then I guess he noticed I held no pizza, and wasn’t wearing a uniform. Ever slow on the uptake (I don’t really know that. I'm just inferring it from him a] wanting to go out with Jess so continuously, not getting that she never liked him; the weekend after my dinner with the Mastrianis, and Jess’s and my following ‘break-up’ – though it wasn’t, not really – he actually asked her out again, and b] being The Bitch’s brother – and such an annoying brother that even she was horrified by the idea of him going out with Jess) Skip frowned. “Hey, where’s the ‘za?”Finally, he looked at my face, and seemed to actually recognize me. Sort of. “Hey,” he said slowly, and Christ, couldn’t he start a sentence with another word? There were plenty of options! “I know you.”Before he could continue, or I could respond, The Bitch walked up, holding a pile of plates. “Did you remember the hot-pepper – ” she stopped mid-sentence, staring at me in shock.Okay, she definitely recognized me.“Oh,” she kind of gasped, “It’s… it’s…”“Rob,” I helped her out, sneaking a glance at Jess, who still hadn’t moved – not even when the two Abramowitzes squeezed into the tiny entryway with her. Just continued to stare.“Right,” The Bitch glanced at Jess in much the same way, only looking more worried. “Rob. From back home.”Yeah. That’s me. Rob, from back home.“You remember Rob, Skip,” The Bitch went on, sounding – well, actually sounding a lot less bitchy than she used to. In fact, she really just sounded worried – about Jess, I guess. Maybe she didn’t really deserve that nickname anymore. Maybe I should just start calling her Ruth.I don’t know, though, that’s a pretty big step…“How could I forget?” Skip asked, flatly. Now he remembered me properly: as Jess’s old boyfriend. He glared at me.Okay, maybe I was willing to at least consider being nice (or, civil, anyway) to his sister, even in my head, but Skip was still – and always would be – at the top of my ‘to mock and forever dislike’ list. No matter what.“Right.” The B–Ruth (see, I can do it if I really try) sounded uncomfortable, confused, and worried now. I guess I couldn’t blame her. “Well. Do you, um… do you want to come in, Rob?”Okay, now I just felt sorry for her.“What’s the holdup?” I heard the voice of the other guy, who turned out to be Jess’s older brother Mike, from what I could see of his face peering over everyone’s shoulders.
Thank god, no boyfriends! Thank you!
“You guys need change or something?” he asked.“It’s not the pizza guy,” Skip told him without taking his eyes off me, “It’s Rob Wilkins.”“Who?” Mike sounded beyond shocked. “Here?”This was getting ridiculous. And Jess still hadn’t said a word, or even moved. I was getting kind of fed up.“Look,” I said, ignoring everyone else and speaking to Jess. “If this is a bad time, Jess, I can come back – ”All eyes turned to Jess, who blushed a little under our collective gazes, but still didn’t break her mute silence. A long, awkward pause followed.Until, amazingly enough, Ruth (no, not The Bitch; Ruth) broke it – and took my side.“We’ll just go out and let you two have some time alone together,” she said, beginning to put down her stack of plates on a tiny hall table.Which was nice of her, and all, but I kind of wanted to leave, for the night at least, by this point. And I was still getting the very distinct impression from Jess (and Mike and Skip too) that I wasn’t very welcome. Actually, Ruth probably didn’t want me here either, but she was making an effort for Jess’s sake despite her dislike of me – a first in all the time I’d known her. The friendship had seemed to be all give and no take from Jess’s side, that I’d seen, which had been yet another contributing factor in me calling her The Bitch.“Go out?” Skip asked, sounding very affronted. “What about the pizza we ordered?”Hearing that, even though I normally wouldn’t pay attention to a word out of the guy’s mouth, sealed the deal for me, and I shook my head. “You know what?” I said, turning, “I’ll come back later.”I began to walk away, feeling more than a little disappointed (even though, in all honesty, I’d feared worse than dead silence, Skip aside) and still reeling from seeing Jess myself, though I obviously didn’t show it as much as she did. Or hate the experience as much, for that matter.But then, as I walked away, I heard it. For the first time in a year – and for the first time in two years, not yelling at me.Her voice.“Wait,” Jess said, and I froze, pivoting my head around to look back at her. Now that she seemed to have gotten over her shock and/or horror at me resurfacing from her past, I had no idea what Jess would say. Especially when you factored in our rapt audience.“Let me grab my keys,” were her chosen words, “We can talk while we grab something to eat somewhere.”My heart – corny as I am (pain-)fully aware it sounds – seized up a moment before thumping faster than before.After a brief halt at the little table, in which she seemed to be arguing with her brother, Jess returned, pulling on a coat and tucking her keys into a pocket as she walked. She passed the Abramowitz kids in the hallway, saying goodbye to Ruth quickly, before joining me in the hallway.She didn’t, I noted with pleasure, even acknowledge Skip’s presence. Not even when she stepped on his foot in the limited space.Well, not until he called after her. “I thought we were having pizza!” Idiot.But Jess still seemed to care what Skip thought of her exactly as much as she had two years ago; that is, not at all. “Save me a slice,” she told him, drawing even with me.And just like that, we turned and headed down the stairs together.Mission… accomplished?",Teen And Up Audiences,RetellingPOV Rob WilkinsImplied/Referenced Underage Sex
https://archiveofourown.org/works/8109805,WIP Amnesty: Stranger Things Have Happened,Not Found,Teen And Up Audiences,WIP AmnestyDeathGhostsPOV First PersonAlternate Universe - Canon DivergenceAlternate UniverseCrossovers & Fandom Fusions
https://archiveofourown.org/works/6881590,Raz... Dwa... Trzy...,Not Found,General Audiences,WarMy First Work in This FandomDrabble
https://archiveofourown.org/works/6764692,"Taka już jest, moja Jess",Not Found,Not Rated,supriseFamily
https://archiveofourown.org/works/6663409,Koszmar Wojny,Not Found,General Audiences,WarHurt/Comfort
